"configuration","trace","description"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","","playSkipTrackTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","","playSkipTrackTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:truebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","","playSkipTrackTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","","playSkipTrackTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:falseremovetrack:truetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:true","","playSkipTrackTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","progressBarTest(testset.AppGUITest)"
"volumecontrol:falseskiptrack:trueremovetrack:falsetime:trueresizable:truewav:truesupportedformats:truereorderplaylist:falseplaylist:truecontrol:truelight:falsesaveandloadplaylist:falsegui:truefeatureamp:truequeuetrack:falsemute:falseprogressbar:trueshowtime:trueid3information:trueshowcover:falseloadfolder:trueshufflerepeat:falsebase:truemp3:trueskins:truedark:trueopenfile:trueclearplaylist:false","	at org.junit.Assert.fail(Assert.java:88)","showtimeTest(testset.AppGUITest)"
