"rule"; "interactions"; "support"; "coverage"
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=postgresql & enableTranslation=FALSE"; 5; 0.01; 0.03
"clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql"; 3; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE"; 6; 0.01; 0.03
"devDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 3; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql"; 5; 0.01; 0.03
"hibernateCache=no & websocket=spring-websocket & buildTool=maven & useSass=FALSE"; 4; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & buildTool=gradle"; 5; 0.01; 0.03
"hibernateCache=no & websocket=no & devDatabaseType=DiskBased & searchEngine=no & useSass=TRUE"; 5; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & buildTool=gradle & searchEngine=no"; 4; 0.01; 0.03
"hibernateCache=no & websocket=spring-websocket & prodDatabaseType=postgresql & searchEngine=elasticsearch & enableTranslation=FALSE"; 5; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & prodDatabaseType=postgresql"; 3; 0.01; 0.03
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=mysql & searchEngine=elasticsearch"; 5; 0.01; 0.03
"hibernateCache=ehcache & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 5; 0.01; 0.03
"hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & searchEngine=elasticsearch & enableTranslation=TRUE"; 6; 0.01; 0.03
"hibernateCache=no & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 4; 0.01; 0.03
"hibernateCache=no & clusteredHttpSession=hazelcast & buildTool=gradle"; 3; 0.01; 0.03
"hibernateCache=no & prodDatabaseType=mysql & buildTool=maven & searchEngine=no"; 4; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 5; 0.01; 0.03
"hibernateCache=ehcache & devDatabaseType=InMemory & buildTool=maven & searchEngine=no"; 4; 0.01; 0.03
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & buildTool=gradle & enableTranslation=FALSE"; 5; 0.01; 0.03
"websocket=spring-websocket & devDatabaseType=DiskBased & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 5; 0.01; 0.03
"clusteredHttpSession=no & websocket=spring-websocket & searchEngine=no & enableTranslation=TRUE"; 4; 0.01; 0.03
"hibernateCache=ehcache & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 5; 0.01; 0.03
"websocket=no & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no"; 4; 0.01; 0.03
"hibernateCache=hazelcast & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 4; 0.01; 0.03
"prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 3; 0.01; 0.03
"hibernateCache=hazelcast & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle"; 4; 0.01; 0.03
"clusteredHttpSession=no & websocket=no & prodDatabaseType=mysql & buildTool=gradle"; 4; 0.01; 0.03
"clusteredHttpSession=hazelcast & prodDatabaseType=mysql & buildTool=gradle"; 3; 0.01; 0.03
"websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & enableTranslation=TRUE"; 4; 0.01; 0.03
"hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased"; 4; 0.01; 0.03
"websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & enableTranslation=FALSE"; 4; 0.01; 0.03
"hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=InMemory"; 3; 0.01; 0.03
"websocket=no & useSass=FALSE & enableTranslation=TRUE"; 3; 0.01; 0.03
"websocket=spring-websocket & buildTool=gradle & useSass=TRUE"; 3; 0.01; 0.03
"websocket=no & devDatabaseType=DiskBased & buildTool=gradle"; 3; 0.01; 0.03
"devDatabaseType=InMemory & useSass=TRUE"; 2; 0.01; 0.03
"hibernateCache=hazelcast & websocket=spring-websocket & prodDatabaseType=mysql"; 3; 0.01; 0.03
"authenticationType=jwt & devDatabaseType=postgresql"; 2; 0; 0
"Docker=FALSE & devDatabaseType=mysql"; 2; 0; 0
"authenticationType=uaa & hibernateCache=ehcache"; 2; 0; 0
"applicationType=gateway & useSass=TRUE"; 2; 0; 0
"authenticationType=uaa"; 1; 0; 0
"authenticationType=session & hibernateCache=ehcache & devDatabaseType=mariadb"; 3; 0; 0
"authenticationType=session & devDatabaseType=mariadb"; 2; 0; 0
"authenticationType=session & clusteredHttpSession=no"; 2; 0; 0
"authenticationType=jwt & devDatabaseType=DiskBased & prodDatabaseType=mysql & enableSocialSignIn=TRUE"; 4; 0; 0
"enableSocialSignIn=TRUE & enableTranslation=FALSE"; 2; 0; 0
"websocket=spring-websocket & enableSocialSignIn=TRUE"; 2; 0; 0
"authenticationType=jwt & hibernateCache=hazelcast"; 2; 0; 0
"hibernateCache=no & devDatabaseType=mariadb"; 2; 0; 0
"authenticationType=session & searchEngine=elasticsearch & enableSocialSignIn=TRUE & useSass=TRUE"; 4; 0; 0
"devDatabaseType=mariadb"; 1; 0; 0
"authenticationType=session & searchEngine=no"; 2; 0; 0
"hibernateCache=hazelcast & prodDatabaseType=mariadb & enableTranslation=FALSE"; 3; 0; 0
"hibernateCache=hazelcast & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no"; 4; 0; 0
"authenticationType=jwt & clusteredHttpSession=hazelcast & searchEngine=no"; 3; 0; 0
"authenticationType=jwt"; 1; 0; 0
"hibernateCache=hazelcast & devDatabaseType=mysql"; 2; 0; 0
"hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=mysql"; 3; 0; 0
"hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql"; 3; 0; 0
"hibernateCache=hazelcast & prodDatabaseType=mariadb"; 2; 0; 0
"hibernateCache=no & devDatabaseType=postgresql & useSass=FALSE"; 3; 0; 0
"prodDatabaseType=mariadb & useSass=TRUE"; 2; 0; 0
"clusteredHttpSession=hazelcast & devDatabaseType=postgresql"; 2; 0; 0
"hibernateCache=no & devDatabaseType=postgresql"; 2; 0; 0
"prodDatabaseType=mariadb"; 1; 0; 0
"websocket=no & devDatabaseType=postgresql & useSass=FALSE"; 3; 0; 0
"devDatabaseType=postgresql"; 1; 0; 0
"hibernateCache=no & prodDatabaseType=postgresql & useSass=FALSE"; 3; 0; 0
"hibernateCache=no & websocket=no & devDatabaseType=DiskBased & searchEngine=no"; 4; 0; 0
"hibernateCache=no & devDatabaseType=DiskBased & buildTool=gradle"; 3; 0; 0
"hibernateCache=no & devDatabaseType=DiskBased"; 2; 0; 0
"hibernateCache=no & websocket=no"; 2; 0; 0
"hibernateCache=no & searchEngine=no"; 2; 0; 0
"hibernateCache=no & prodDatabaseType=postgresql"; 2; 0; 0
"hibernateCache=no & buildTool=gradle"; 2; 0; 0
"websocket=no & buildTool=gradle & useSass=FALSE"; 3; 0; 0
"clusteredHttpSession=no & prodDatabaseType=postgresql & searchEngine=no"; 3; 0; 0
"websocket=spring-websocket & searchEngine=no"; 2; 0; 0
"devDatabaseType=DiskBased & searchEngine=no"; 2; 0; 0
"hibernateCache=hazelcast & clusteredHttpSession=no"; 2; 0; 0
"devDatabaseType=InMemory & buildTool=gradle"; 2; 0; 0
"hibernateCache=ehcache & clusteredHttpSession=hazelcast"; 2; 0; 0
"websocket=no & devDatabaseType=InMemory"; 2; 0; 0
