"rule"; "interactions"; "support"; "coverage"
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & buildTool=maven & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & buildTool=gradle & searchEngine=no & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & applicationType=monolith & authenticationType=jwt & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=TRUE & enableTranslation=FALSE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & searchEngine=no & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"applicationType=gateway & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=jwt & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mariadb & enableSocialSignIn=TRUE & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"applicationType=gateway & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"authenticationType=session & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=mariadb & searchEngine=elasticsearch & enableSocialSignIn=TRUE & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=no & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=no & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & buildTool=maven & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & devDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & applicationType=monolith & authenticationType=jwt & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=FALSE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & devDatabaseType=mysql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=postgresql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=session & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=TRUE"; 10; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=mysql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=DiskBased & prodDatabaseType=mysql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & useSass=TRUE & enableTranslation=TRUE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=no & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=maven & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & useSass=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & prodDatabaseType=postgresql & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=maven & searchEngine=no & useSass=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & buildTool=gradle & useSass=TRUE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=hazelcast & prodDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & enableTranslation=FALSE"; 9; 0.02; 0.06
"authenticationType=session & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=mariadb & searchEngine=elasticsearch & enableSocialSignIn=TRUE & useSass=FALSE & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & applicationType=monolith & authenticationType=jwt & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=TRUE"; 11; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & websocket=spring-websocket & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 8; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mariadb & useSass=TRUE & enableTranslation=FALSE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableTranslation=TRUE"; 9; 0.02; 0.06
"Docker=TRUE & authenticationType=session & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mariadb & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=FALSE"; 10; 0.02; 0.06
"authenticationType=session & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=TRUE"; 11; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=no & useSass=TRUE & enableTranslation=TRUE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableTranslation=TRUE"; 10; 0.01; 0.03
"authenticationType=session & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableSocialSignIn=TRUE & useSass=FALSE & enableTranslation=FALSE"; 11; 0.01; 0.03
"Docker=TRUE & applicationType=gateway & hibernateCache=no & clusteredHttpSession=no & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=maven & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 11; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & websocket=spring-websocket & devDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 9; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=maven & searchEngine=no & enableTranslation=TRUE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & devDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 9; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & prodDatabaseType=postgresql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & searchEngine=no & useSass=FALSE & enableTranslation=TRUE"; 10; 0.01; 0.03
"authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 9; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & useSass=FALSE & enableTranslation=FALSE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & websocket=spring-websocket & devDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 9; 0.01; 0.03
"Docker=TRUE & applicationType=gateway & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 10; 0.01; 0.03
"applicationType=monolith & authenticationType=jwt & hibernateCache=ehcache & clusteredHttpSession=no & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableSocialSignIn=FALSE & useSass=FALSE & enableTranslation=FALSE"; 12; 0.01; 0.03
"authenticationType=session & hibernateCache=hazelcast & clusteredHttpSession=no & websocket=no & devDatabaseType=postgresql & buildTool=gradle & searchEngine=no & enableSocialSignIn=TRUE & useSass=FALSE & enableTranslation=TRUE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=TRUE & enableTranslation=TRUE"; 10; 0.01; 0.03
"authenticationType=session & hibernateCache=hazelcast & clusteredHttpSession=hazelcast & websocket=spring-websocket & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=elasticsearch & enableSocialSignIn=FALSE & useSass=TRUE & enableTranslation=FALSE"; 11; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=no & clusteredHttpSession=no & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=elasticsearch & useSass=FALSE"; 9; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & websocket=no & devDatabaseType=mysql & buildTool=maven & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 9; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=hazelcast & clusteredHttpSession=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=FALSE & enableTranslation=FALSE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=jwt & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=InMemory & prodDatabaseType=mysql & buildTool=gradle & searchEngine=no & enableSocialSignIn=TRUE & enableTranslation=TRUE"; 11; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=hazelcast & websocket=no & devDatabaseType=DiskBased & prodDatabaseType=postgresql & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=FALSE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & clusteredHttpSession=no & websocket=no & devDatabaseType=InMemory & prodDatabaseType=postgresql & buildTool=gradle & searchEngine=elasticsearch & useSass=FALSE & enableTranslation=TRUE"; 10; 0.01; 0.03
"Docker=TRUE & authenticationType=oauth2 & hibernateCache=ehcache & clusteredHttpSession=no & devDatabaseType=mysql & buildTool=gradle & searchEngine=no & useSass=TRUE & enableTranslation=FALSE"; 9; 0.01; 0.03
